"Tree_ID","Address","Tree_Species","Species_Desc","Common_Name","Age_Desc","Height","Spread","Trunk","Actual_Trunk_cm","Condition","Lat","Long"
27116,"Tara Court, Balbriggan","ACPS","Acer pseudoplatanus","Sycamore","Young","10 metres","Up to 3 metres","11cm to 20cm",12,"Good",53.609176635,-6.1899206268
27124,"Tara Court, Balbriggan","ACPS","Acer pseudoplatanus","Sycamore","Young","10 metres","Up to 3 metres","11cm to 20cm",11,"Good",53.6092286538,-6.1899496787
27132,"Clonard Court, Balbriggan","ACPS","Acer pseudoplatanus","Sycamore","Mature","10 metres","6 to 9 metres","21cm to 30cm",22,"Good",53.6093530839,-6.1898411511
27196,"Tara Court, Balbriggan","ACPS","Acer pseudoplatanus","Sycamore","Semi-Mature","10 metres","6 to 9 metres","21cm to 30cm",27,"Good",53.6079801969,-6.1902318644
48004,"Seabury Drive, Malahide","ACPL","Acer platanoides","Norway Maple","Semi-Mature","10 metres","3 to 6 metres","11cm to 20cm",17,"Good",53.4546297746,-6.1785672998
48008,"Seabury Drive, Malahide","ACPL","Acer platanoides","Norway Maple","Semi-Mature","10 metres","6 to 9 metres","21cm to 30cm",28,"Good",53.4545716327,-6.1783492313
48096,"Seabury Drive, Malahide","ACPL","Acer platanoides","Norway Maple","Semi-Mature","10 metres","3 to 6 metres","11cm to 20cm",16,"Good",53.4540912719,-6.1769915172
48100,"Seabury Drive, Malahide","ACPL","Acer platanoides","Norway Maple","Semi-Mature","10 metres","6 to 9 metres","21cm to 30cm",22,"Fair to Good",53.4541513931,-6.1771212742
48136,"Seabury Drive, Malahide","ACPS","Acer pseudoplatanus","Sycamore","Semi-Mature","10 metres","3 to 6 metres","21cm to 30cm",30,"Good",53.4541899236,-6.1782093066
48432,"Seabury Parade, Malahide","ACPL","Acer platanoides","Norway Maple","Semi-Mature"," 15 metres","6 to 9 metres","21cm to 30cm",21,"Good",53.4551526738,-6.1799048607
28644,"Ridgewood Park, Swords","TISP","Tilia spp.","Lime","Young",NA,"Up to 3 metres","11cm to 20cm",12,"Good",53.4472932421,-6.2462582122
29256,"Ridgewood Avenue, Forrest Great","TICO","Tilia cordata","Small-Leafed Lime","Young",NA,"Up to 3 metres","1cm - 10cm",8,"Good",53.4463522868,-6.2475539942
29372,"Ridgewood Avenue, Forrest Great","TICO","Tilia cordata","Small-Leafed Lime","Young",NA,"Up to 3 metres","11cm to 20cm",11,"Good",53.4461622796,-6.246865513
17424,"Valley View, Swords","TICO","Tilia cordata","Small-Leafed Lime","Semi-Mature","10 metres","3 to 6 metres","21cm to 30cm",23,"Fair to Good",53.4621276045,-6.2411396015
636604,"Georgian Village, Castleknock","ACPL","Acer platanoides","Norway Maple","Mature"," 15 metres","9 to 12 metres","51cm-60cm",60,"Fair to Good",53.3688095254,-6.3539554158
41224,"Talbot Avenue, Malahide","TISP","Tilia spp.","Lime","Semi-Mature","10 metres","3 to 6 metres","11cm to 20cm",16,"Good",53.4480032005,-6.1816676812
41228,"Talbot Avenue, Malahide","TISP","Tilia spp.","Lime","Semi-Mature","10 metres","3 to 6 metres","11cm to 20cm",18,"Good",53.4479840321,-6.181565539
41800,"Auburn Grove, Malahide","ACPS","Acer pseudoplatanus","Sycamore","Mature","10 metres","6 to 9 metres","31cm to 40cm",36,"Good",53.4452128838,-6.1751394186
4432,"Glen Ellan Drive, Swords","ACPL","Acer platanoides","Norway Maple","Semi-Mature","10 metres","6 to 9 metres","11cm to 20cm",19,"Good",53.4667755507,-6.2271133639
29500,"Ridgewood Avenue, Forrest Great","TISP","Tilia spp.","Lime","Semi-Mature","10 metres","3 to 6 metres","11cm to 20cm",14,"Good",53.4451869523,-6.2444692803
29516,"Ridgewood Avenue, Forrest Great","TISP","Tilia spp.","Lime","Young",NA,"Up to 3 metres","11cm to 20cm",11,"Good",53.4453075923,-6.2448392417
48012,"Seabury Drive, Malahide","ACPL","Acer platanoides","Norway Maple","Semi-Mature","10 metres","6 to 9 metres","21cm to 30cm",23,"Good",53.4545251189,-6.1781747768
48128,"Seabury Drive, Malahide","ACPS","Acer pseudoplatanus","Sycamore","Semi-Mature","10 metres","6 to 9 metres","21cm to 30cm",27,"Good",53.454275603,-6.178141352
48140,"Seabury Drive, Malahide","ACPS","Acer pseudoplatanus","Sycamore","Semi-Mature","10 metres","3 to 6 metres","31cm to 40cm",35,"Good",53.4541225951,-6.1782490749
28616,"Ridgewood Park, Swords","TISP","Tilia spp.","Lime","Young",NA,"Up to 3 metres","1cm - 10cm",9,"Good",53.4476348884,-6.2456156867
246576,"Lanesborough Grove, Saint Margaret's","PRSPA","Prunus serrulata","Japanese Cherry","Young",NA,"Up to 3 metres","1cm - 10cm",10,"Good",53.4033384685,-6.291597615
18424,"Milesian Lawn, Swords","ACPL","Acer platanoides","Norway Maple","Semi-Mature"," 15 metres","6 to 9 metres","31cm to 40cm",33,"Fair to Good",53.4520142884,-6.2073983858
18432,"Milesian Lawn, Swords","ACPL","Acer platanoides","Norway Maple","Semi-Mature"," 15 metres","6 to 9 metres","31cm to 40cm",39,"Fair to Good",53.4518871772,-6.2074790127
2032,"Beverton Green, Donabate","SOAU","Sorbus aucuparia","Rowan (Mountain Ash)","Semi-Mature","10 metres","Up to 3 metres","11cm to 20cm",11,"Fair to Good",53.4914180571,-6.1571250367
2044,"Beverton Green, Donabate","SOAU","Sorbus aucuparia","Rowan (Mountain Ash)","Young",NA,"Up to 3 metres","1cm - 10cm",8,"Fair to Good",53.491196033,-6.1573478838
32432,"Greenlawns, Skerries","ACPL","Acer platanoides","Norway Maple","Mature","10 metres","6 to 9 metres","41cm - 50cm",45,"Fair",53.5731637826,-6.1132970772
20808,"Brookdale Park, Swords","MASP","Malus spp.","Crab apple","Young",NA,"Up to 3 metres","11cm to 20cm",17,"Fair",53.452530484,-6.24784326
20840,"Brookdale Park, Swords","ACPL","Acer platanoides","Norway Maple","Semi-Mature","10 metres","3 to 6 metres","21cm to 30cm",26,"Good",53.4526259932,-6.2477750443
251000,"Parklands","","","","",NA,"","",0,"",53.3797014077,-6.3703904231
